Skill,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AngularJS,,,,,,,,,,,,,,,3,2,2,,,,,,,
Angular,,,,,,,,,,,,,,,,,1,6,5,4,2,2,1,2
ASP .Net,,,,,,3,3,2,2,4,4,1,2,2,,1,,,,,,,,
AWS DynamoDB,,,,,,,,,,,,,,,,,0.25,,,,,,,
AWS EC2,,,,,,,,,,,,,,,,,0.25,,,,,,,
AWS IAM,,,,,,,,,,,,,,,,,0.25,,,,,,1,1
AWS S3,,,,,,,,,,,,,,,,,0.25,,,,,,,
C#,,,,,3,3,3,,,,,,,,,,,,1,1,1,1,,
Docker,,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Git,,,,,,,,,,,,,,,,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
GOCD,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25
HTML/CSS,3,3,,,,,,2,2,2,2,2,1,1,3,2,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Java,,,,,,,,2,2,,,,,,,1,,,,,,,,
JavaScript,1,1,,,,,,,,1,1,2,1,1,3,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Moleculer Microserivces,,,,,,,,,,,,,,,,,,,,,,,0.5,1
Node,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1
React/Redux,,,,,,,,,,,,,,,,,,,,,1,2,1,
SQL,3,3,8,8,4,4,4,4,4,3,3,4,4,4,1,1,0.25,0.25,0.25,0.25,0.25,0.25,,
Web Services / API,,,,,,,,,,,,1,2,2,,,,,,0.5,1,1,1,1
Team Leadership,,,,,,,,,,,,,,,,,2,,,1,1,,,
Terraform,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5
TypeScript,,,,,,,,,,,,,,,,,0.5,2.5,2.5,2,1.5,1.5,2.5,2
VB,3,3,2,2,3,,,,,,,,,,,,,,,,,,,
